Order_ID,Order_Date,Category,Product,Unit_Price,Quantity,Total_Price,Discount_Percent,Discount_Amount,Final_Price,Customer_Segment,Region,Payment_Method,Shipping_Method
ORD10000,2024-01-01,Books,Magazine,46.77,1,46.77,0.0,0.0,46.77,New,West,UPI,Standard
ORD10001,2024-01-01,Sports,Tennis Racket,93.05,1,93.05,0.0,0.0,93.05,New,East,Debit Card,Standard
ORD10002,2024-01-01,Sports,Dumbbells,134.54,1,134.54,0.0,0.0,134.54,Regular,West,Credit Card,Express
ORD10003,2024-01-01,Clothing,Jeans,124.37,1,124.37,0.0,0.0,124.37,New,South,Debit Card,Express
ORD10004,2024-01-01,Books,Comic Book,44.9,1,44.9,29.5,13.25,31.65,Premium,South,UPI,Standard
ORD10005,2024-01-01,Sports,Dumbbells,24.95,1,24.95,0.0,0.0,24.95,New,South,Credit Card,Standard
ORD10006,2024-01-01,Electronics,Smartwatch,713.03,1,713.03,29.2,208.2,504.83,Regular,South,UPI,Standard
ORD10007,2024-01-01,Books,Textbook,40.78,1,40.78,0.0,0.0,40.78,Regular,North,Credit Card,Same Day
ORD10008,2024-01-01,Books,Magazine,7.62,2,15.24,0.0,0.0,15.24,Regular,North,Credit Card,Standard
ORD10009,2024-01-01,Home & Kitchen,Cookware Set,226.61,1,226.61,0.0,0.0,226.61,Premium,South,Credit Card,Standard
ORD10010,2024-01-01,Electronics,Tablet,116.7,1,116.7,0.0,0.0,116.7,New,East,Debit Card,Standard
ORD10011,2024-01-02,Home & Kitchen,Coffee Maker,150.11,1,150.11,28.3,42.48,107.63,Regular,West,UPI,Standard
ORD10012,2024-01-02,Home & Kitchen,Cookware Set,211.51,1,211.51,0.0,0.0,211.51,New,West,UPI,Express
ORD10013,2024-01-02,Books,Textbook,33.95,1,33.95,0.0,0.0,33.95,Premium,West,Debit Card,Same Day
ORD10014,2024-01-02,Electronics,Smartwatch,361.15,1,361.15,0.0,0.0,361.15,Regular,East,Credit Card,Express
ORD10015,2024-01-02,Books,Non-Fiction,16.73,1,16.73,0.0,0.0,16.73,Premium,South,Cash on Delivery,Standard
ORD10016,2024-01-02,Sports,Running Shoes,96.95,1,96.95,0.0,0.0,96.95,New,West,Debit Card,Standard
ORD10017,2024-01-02,Clothing,Dress,47.21,1,47.21,0.0,0.0,47.21,Premium,North,Debit Card,Standard
ORD10018,2024-01-02,Clothing,Dress,135.9,1,135.9,0.0,0.0,135.9,Regular,West,Credit Card,Standard
ORD10019,2024-01-02,Sports,Tennis Racket,251.58,1,251.58,0.0,0.0,251.58,Regular,East,Debit Card,Standard
ORD10020,2024-01-02,Books,Magazine,46.89,2,93.78,0.0,0.0,93.78,New,North,UPI,Standard
ORD10021,2024-01-02,Sports,Yoga Mat,383.14,1,383.14,0.0,0.0,383.14,Regular,North,UPI,Standard
ORD10022,2024-01-02,Books,Magazine,28.1,1,28.1,0.0,0.0,28.1,Premium,West,UPI,Standard
ORD10023,2024-01-02,Home & Kitchen,Bed Sheets,125.35,1,125.35,17.3,21.69,103.66,Premium,East,Debit Card,Same Day
ORD10024,2024-01-02,Electronics,Tablet,878.64,1,878.64,15.0,131.8,746.84,Premium,West,UPI,Express
ORD10025,2024-01-02,Home & Kitchen,Coffee Maker,263.21,1,263.21,0.0,0.0,263.21,New,North,Cash on Delivery,Standard
ORD10026,2024-01-02,Home & Kitchen,Vacuum Cleaner,277.35,1,277.35,0.0,0.0,277.35,Premium,North,Credit Card,Standard
ORD10027,2024-01-02,Sports,Tennis Racket,451.57,1,451.57,0.0,0.0,451.57,Regular,West,UPI,Standard
ORD10028,2024-01-02,Clothing,Sneakers,102.32,1,102.32,0.0,0.0,102.32,Regular,North,Debit Card,Standard
ORD10029,2024-01-02,Electronics,Laptop,498.82,1,498.82,0.0,0.0,498.82,Premium,North,Cash on Delivery,Express
ORD10030,2024-01-02,Books,Fiction Novel,23.82,2,47.64,0.0,0.0,47.64,New,North,Credit Card,Standard
ORD10031,2024-01-02,Sports,Yoga Mat,194.6,1,194.6,8.3,16.15,178.45,Regular,West,Debit Card,Standard
ORD10032,2024-01-02,Electronics,Tablet,1228.71,3,3686.13,0.0,0.0,3686.13,New,East,UPI,Same Day
ORD10033,2024-01-02,Electronics,Laptop,237.28,2,474.56,0.0,0.0,474.56,Premium,North,UPI,Express
ORD10034,2024-01-02,Electronics,Smartphone,772.34,1,772.34,24.8,191.54,580.8,New,South,UPI,Same Day
ORD10035,2024-01-03,Home & Kitchen,Cookware Set,193.69,1,193.69,0.0,0.0,193.69,Regular,North,Credit Card,Standard
ORD10036,2024-01-03,Clothing,Jacket,27.29,1,27.29,0.0,0.0,27.29,Premium,South,Cash on Delivery,Standard
ORD10037,2024-01-03,Books,Magazine,11.62,2,23.24,0.0,0.0,23.24,Regular,North,Debit Card,Same Day
ORD10038,2024-01-03,Clothing,Jacket,93.25,1,93.25,0.0,0.0,93.25,Premium,South,Debit Card,Standard
ORD10039,2024-01-03,Electronics,Tablet,551.22,1,551.22,9.2,50.71,500.51,Regular,East,Credit Card,Standard
ORD10040,2024-01-03,Clothing,Dress,19.29,1,19.29,0.0,0.0,19.29,Premium,South,UPI,Standard
ORD10041,2024-01-03,Clothing,Jeans,122.92,1,122.92,0.0,0.0,122.92,Regular,West,Cash on Delivery,Standard
